Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ns/call  ns/call  name    
  0.00      0.01     0.00    52061     0.00     0.00  __gnu_cxx::hashtable<std::pair<std::string const, int>, std::string, __gnu_cxx::hash<std::string>, std::_Select1st<std::pair<std::string const, int> >, std::equal_to<std::string>, std::allocator<int> >::_M_bkt_num_key(std::string const&, unsigned long) const
  0.00      0.01     0.00    41472     0.00     0.00  __gnu_cxx::_Hashtable_iterator<std::pair<std::string const, int>, std::string, __gnu_cxx::hash<std::string>, std::_Select1st<std::pair<std::string const, int> >, std::equal_to<std::string>, std::allocator<int> >::_Hashtable_iterator(__gnu_cxx::_Hashtable_node<std::pair<std::string const, int> >*, __gnu_cxx::hashtable<std::pair<std::string const, int>, std::string, __gnu_cxx::hash<std::string>, std::_Select1st<std::pair<std::string const, int> >, std::equal_to<std::string>, std::allocator<int> >*)
  0.00      0.01     0.00    27649     0.00     0.00  __gnu_cxx::new_allocator<std::pair<std::string const, int> >::new_allocator()
  0.00      0.01     0.00    27649     0.00     0.00  __gnu_cxx::new_allocator<std::pair<std::string const, int> >::~new_allocator()
  0.00      0.01     0.00    27649     0.00     0.00  std::allocator<std::pair<std::string const, int> >::~allocator()
  0.00      0.01     0.00    27648     0.00     0.00  CompleteBinaryTree<datapoint*>::lastLeaf()
  0.00      0.01     0.00    27648     0.00     0.00  __gnu_cxx::hashtable<std::pair<std::string const, int>, std::string, __gnu_cxx::hash<std::string>, std::_Select1st<std::pair<std::string const, int> >, std::equal_to<std::string>, std::allocator<int> >::get_allocator() const
  0.00      0.01     0.00    27648     0.00     0.00  __gnu_cxx::hashtable<std::pair<std::string const, int>, std::string, __gnu_cxx::hash<std::string>, std::_Select1st<std::pair<std::string const, int> >, std::equal_to<std::string>, std::allocator<int> >::_M_bkt_num_key(std::string const&) const
  0.00      0.01     0.00    27648     0.00     0.00  std::allocator<std::pair<std::string const, int> >::allocator<__gnu_cxx::_Hashtable_node<std::pair<std::string const, int> > >(std::allocator<__gnu_cxx::_Hashtable_node<std::pair<std::string const, int> > > const&)
  0.00      0.01     0.00    27648     0.00     0.00  std::pair<std::string const, int>::~pair()
  0.00      0.01     0.00    24413     0.00     0.00  __gnu_cxx::hashtable<std::pair<std::string const, int>, std::string, __gnu_cxx::hash<std::string>, std::_Select1st<std::pair<std::string const, int> >, std::equal_to<std::string>, std::allocator<int> >::_M_bkt_num(std::pair<std::string const, int> const&, unsigned long) const
  0.00      0.01     0.00    15025     0.00   665.75  commandexec::executecommand(char*)
  0.00      0.01     0.00    13849     0.00     0.00  CompleteBinaryTree<datapoint*>::empty()
  0.00      0.01     0.00    13824     0.00     0.00  CompleteBinaryTree<datapoint*>::removeLast()
  0.00      0.01     0.00    13824     0.00     0.00  CompleteBinaryTree<datapoint*>::append(datapoint*)
  0.00      0.01     0.00    13824     0.00   723.59  myheap::addtoheap(std::string, int)
  0.00      0.01     0.00    13824     0.00     0.00  __gnu_cxx::new_allocator<__gnu_cxx::_Hashtable_node<std::pair<std::string const, int> > >::deallocate(__gnu_cxx::_Hashtable_node<std::pair<std::string const, int> >*, unsigned long)
  0.00      0.01     0.00    13824     0.00     0.00  __gnu_cxx::new_allocator<__gnu_cxx::_Hashtable_node<std::pair<std::string const, int> > >::allocate(unsigned long, void const*)
  0.00      0.01     0.00    13824     0.00     0.00  __gnu_cxx::new_allocator<std::pair<std::string const, int> >::destroy(std::pair<std::string const, int>*)
  0.00      0.01     0.00    13824     0.00     0.00  __gnu_cxx::new_allocator<std::pair<std::string const, int> >::construct(std::pair<std::string const, int>*, std::pair<std::string const, int> const&)
  0.00      0.01     0.00    13824     0.00     0.00  __gnu_cxx::hash_map<std::string, int, __gnu_cxx::hash<std::string>, std::equal_to<std::string>, std::allocator<int> >::end()
  0.00      0.01     0.00    13824     0.00     0.00  __gnu_cxx::hash_map<std::string, int, __gnu_cxx::hash<std::string>, std::equal_to<std::string>, std::allocator<int> >::find(std::string const&)
  0.00      0.01     0.00    13824     0.00     0.00  __gnu_cxx::hash_map<std::string, int, __gnu_cxx::hash<std::string>, std::equal_to<std::string>, std::allocator<int> >::insert(std::pair<std::string const, int> const&)
  0.00      0.01     0.00    13824     0.00     0.00  __gnu_cxx::hashtable<std::pair<std::string const, int>, std::string, __gnu_cxx::hash<std::string>, std::_Select1st<std::pair<std::string const, int> >, std::equal_to<std::string>, std::allocator<int> >::_M_get_node()
  0.00      0.01     0.00    13824     0.00     0.00  __gnu_cxx::hashtable<std::pair<std::string const, int>, std::string, __gnu_cxx::hash<std::string>, std::_Select1st<std::pair<std::string const, int> >, std::equal_to<std::string>, std::allocator<int> >::_M_new_node(std::pair<std::string const, int> const&)
  0.00      0.01     0.00    13824     0.00     0.00  __gnu_cxx::hashtable<std::pair<std::string const, int>, std::string, __gnu_cxx::hash<std::string>, std::_Select1st<std::pair<std::string const, int> >, std::equal_to<std::string>, std::allocator<int> >::_M_put_node(__gnu_cxx::_Hashtable_node<std::pair<std::string const, int> >*)
  0.00      0.01     0.00    13824     0.00     0.00  __gnu_cxx::hashtable<std::pair<std::string const, int>, std::string, __gnu_cxx::hash<std::string>, std::_Select1st<std::pair<std::string const, int> >, std::equal_to<std::string>, std::allocator<int> >::insert_unique(std::pair<std::string const, int> const&)
  0.00      0.01     0.00    13824     0.00     0.00  __gnu_cxx::hashtable<std::pair<std::string const, int>, std::string, __gnu_cxx::hash<std::string>, std::_Select1st<std::pair<std::string const, int> >, std::equal_to<std::string>, std::allocator<int> >::_M_delete_node(__gnu_cxx::_Hashtable_node<std::pair<std::string const, int> >*)
  0.00      0.01     0.00    13824     0.00     0.00  __gnu_cxx::hashtable<std::pair<std::string const, int>, std::string, __gnu_cxx::hash<std::string>, std::_Select1st<std::pair<std::string const, int> >, std::equal_to<std::string>, std::allocator<int> >::insert_unique_noresize(std::pair<std::string const, int> const&)
  0.00      0.01     0.00    13824     0.00     0.00  __gnu_cxx::hashtable<std::pair<std::string const, int>, std::string, __gnu_cxx::hash<std::string>, std::_Select1st<std::pair<std::string const, int> >, std::equal_to<std::string>, std::allocator<int> >::end()
  0.00      0.01     0.00    13824     0.00     0.00  __gnu_cxx::hashtable<std::pair<std::string const, int>, std::string, __gnu_cxx::hash<std::string>, std::_Select1st<std::pair<std::string const, int> >, std::equal_to<std::string>, std::allocator<int> >::find(std::string const&)
  0.00      0.01     0.00    13824     0.00     0.00  __gnu_cxx::hashtable<std::pair<std::string const, int>, std::string, __gnu_cxx::hash<std::string>, std::_Select1st<std::pair<std::string const, int> >, std::equal_to<std::string>, std::allocator<int> >::resize(unsigned long)
  0.00      0.01     0.00    13824     0.00     0.00  datapoint::datapoint()
  0.00      0.01     0.00    13824     0.00     0.00  datapoint::~datapoint()
  0.00      0.01     0.00    13824     0.00     0.00  __gnu_cxx::new_allocator<__gnu_cxx::_Hashtable_node<std::pair<std::string const, int> > >::max_size() const
